Lon,Lat,Clave,Edo,Est,Tmed
-95.1,16.58,IXTOX,OAX,IXTEPEC,23.8
-98.46,18.58,IZMPB,PUE,IZUCAR DE MATAMOROS,19.4
-96.9,19.51,76687,VER,JALAPA,14.5
-104.51,22.25,JMANR,NAY,JESÚS MARÍA,22.9
-102.35,22.12,JCQAG,AGS,JOCOQUE,13.1
-98.8,18.7,JNCMR,MOR,JONACATEPEC,19.2
-99.05,19.63,K27MX,MEX,KM. 27 + 250,12.7
-105.39,27.53,LBQCH,CHIH,LA BOQUILLA,11.5
-102.57,22.78,LBUZC,ZAC,LA BUFA,11.4
-106.9,23.91,LCRSI,SIN,LA CRUZ,20.7
-98.92,18.68,LCUMR,MOR,LA CUERA,20.0
-97.02,19.6,JOYVC,VER,LA JOYA,8.4
-110.32,24.12,76405,BCS,LA PAZ,20.6
-110.36,24.15,LPZBS,BCS,LA PAZ,20.5
-103.72,19.22,LPSCM,COL,LA POSTA,25.3
-99.11,22.83,LSRTP,TAMPS,LA SERVILLETA,17.2
-103.2,20.3,LDCJL,JAL,LAGO DE CHAPALA,17.3
-103.86,18.9,LDACM,COL,LAGUNA DE AMELA,24.5
-98.55,21.97,AJTSL,SLP,LAS ADJUNTAS,16.7
-101.83,20.66,LADGJ,GTO,LAS ADJUNTAS,12.2
-99.21,19.56,ARBMX,MEX,LAS ARBOLEDAS,13.0
-93.56,16.69,LFLCP,CHIS,LAS FLORES,20.1
-94.91,17.41,LPEVC,VER,LAS PERLAS,20.0
-99.23,16.76,LDGGR,GRO,LAS VIGAS,21.8
-103.21,23.18,LREZC,ZAC,LEOBARDO REYNOSO,11.0
-101.66,21.1,LENGJ,GTO,LEON,16.0
-97.69,19.49,LIBPB,PUE,LIBRES,11.5
-102.66,23,LLBZC,ZAC,LLANO BLANCO,10.8
-103.38,22.84,LOBZC,ZAC,LOBATOS,11.3
-111.35,26.02,76305,BCS,LORETO,20.7
-111.34,26.01,LRTBS,BCS,LORETO,20.7
-102,21.89,CNSAG,AGS,LOS CONOS,12.3
-98.27,21.16,HLSVC,VER,LOS HULES,17.3
-109,25.8,MCHSI,SIN,LOS MOCHIS,20.2
-92.6,17.76,MACTB,TAB,MACUSPANA,21.5
-99.19,26.07,MDRNL,NL,MADERO,13.7
-97.84,22.28,MDRTP,TAMPS,MADERO,16.6
-98.7,22.79,MGSTP,TAMPS,MAGISCATZIN II,16.0
-99.55,24.56,MAGTP,TAMPS,MAGUEYES,12.6
-104.33,19.07,76654,COL,MANZANILLO,26.2
-104.31,19.04,MNZCM,COL,MANZANILLO,26.2
-96.13,17.49,MAROX,OAX,MARIA LOMBARDO                      ,19.7
-97.04,20.06,MDTVC,VER,MARTINEZ DE LA TORRE,18.6
-97.52,25.83,MATTP,TAMPS,MATAMOROS,13.6
-98.81,21.28,76585,SLP,MATLAPA,16.3
-98.8,21.33,MTPSL,SLP,MATLAPA,16.7
-98.1,18.6,MAYPB,PUE,MAYORAZGO 21 PTE.,13.7
-106.41,23.22,76458,SIN,MAZATLAN,21.1
-106.4,23.23,MZTSI,SIN,MAZATLAN,21.2
-89.65,20.95,76644,YUC,MERIDA,22.9
-89.6,21,MEOYC,YUC,MERIDA OBSERVATORIO,22.9
-103.36,21.21,MORZC,ZAC,MEZQUITAL DEL ORO,17.4
-99.15,22.12,MICSL,SLP,MICOS,15.4
-103.44,24.29,MGAZC,ZAC,MIGUEL AUZA,12.6
-99.43,23.91,MHGTP,TAMPS,MIGUEL HIDALGO,13.4
-94.93,18.13,MNZVC,VER,MINZAPAN,19.4
-96.83,19.93,MZNVC,VER,MISANTLA,15.3
-99.21,20.23,MXQHD,HGO,MIXQUIAHUALA,12.4
-101.42,26.91,76342,COAH,MONCLOVA,13.0
-101.41,26.9,MCVCL,COAH,MONCLOVA,13.1
-100.3,25.73,76393,NL,MONTERREY,14.4
-100.26,25.68,MTRNL,NL,MONTERREY,13.4
-101.18,19.7,76665,MICH,MORELIA,15.2
-101.18,19.69,MORMC,MICH,MORELIA,15.1
-89.7,20.49,MUNYC,YUC,MUNA,21.3
-109.68,30.37,NCZSO,SON,NACOZARI,13.8
-99.32,22.52,NRJSL,SLP,NARANJO,14.4
-109.44,27.07,NVJSO,SON,NAVOJOA,18.5
-102.85,21.36,NCTZC,ZAC,NOCHISTLAN,12.9
-90.22,19.43,NYXCA,CAMP,NOH-YAXCHE,23.0
-101.33,27.92,NUEVAROSITA,COAH,NUEVA ROSITA,10.8
-107.95,30.37,76122,CHIH,NUEVO CASAS GRANDES,8.7
-96.7,17.07,76775,OAX,OAXACA,16.9
-96.73,17.06,OACOX,OAX,OAXACA CENTRO,18.4
-96.7,17,OAOOX,OAX,OAXACA OBS. AEROPUERTO,17.2
-99.21,18.9,OBSMR,MOR,OBSERVATORIO,17.5
-98.2,19.4,OBSTL,TLAX,OBSERVATORIO,13.1
-102.29,21.85,OBSAG,AGS,OBSERVATORIO AGS.,14.2
-106.12,28.7,QIJCH,CHIH,OBSERVATORIO CHIHUAHUA,11.0
-99.8,16.8,ODAGR,GRO,OBSERVATORIO DE ACAPULCO,27.2
-107.44,24.63,OBSSI,SIN,OBSERVATORIO DE CULIACAN,20.1
-101.01,25.37,SALCL,COAH,OBSV. SALTILLO,11.7
-104.42,29.56,OJNCH,CHIH,OJINAGA,10.0
-98.43,16.68,OMEGR,GRO,OMETEPEC,20.9
-97.1,18.85,76737,VER,ORIZABA,15.5
